Variable,Unit,MAE,RMSE,MAPE (%),R²,Correlation
Temperature,(K),0.8664,1.2247,0.29,0.9812,0.9920
U-Wind,(m/s),0.3689,0.4951,8466012.50,0.8509,0.9321
V-Wind,(m/s),0.3857,0.5165,15040826.56,0.8241,0.9212
Pressure,(Pa),64.2811,84.1638,0.06,0.9930,0.9966
PM2.5,(μg/m³),5.6961,8.0149,21.09,0.8726,0.9408
PM10,(μg/m³),6.8304,9.8596,13.57,0.9050,0.9515
SO2,(μg/m³),0.9931,1.5089,12.22,0.8088,0.9182
NO2,(μg/m³),5.7194,7.8430,19.80,0.8733,0.9398
O3,(μg/m³),8.8250,12.7934,28.94,0.9139,0.9639
CO,(mg/m³),0.0774,0.1045,11.10,0.8538,0.9286
Humidity,(kg/kg),0.0008,0.0010,6.75,0.9558,0.9917
