Variable,Unit,Training (2020-2022),Validation (2023),Test (2024)
Temperature,K,292.4 ± 8.2,292.6 ± 7.8,293.5 ± 8.9
Pressure,Pa,101378.0 ± 993.8,101371.6 ± 976.7,101325.5 ± 1005.8
Wind (u),m/s,-0.4 ± 1.3,-0.3 ± 1.3,-0.5 ± 1.3
Wind (v),m/s,-0.1 ± 1.2,-0.2 ± 1.2,-0.0 ± 1.2
Humidity,%,77.4 ± 15.5,77.7 ± 15.1,74.2 ± 17.3
PM₂.₅,μg/m³,35.3 ± 24.9,38.9 ± 29.0,35.9 ± 22.4
PM₁₀,μg/m³,56.8 ± 34.4,64.5 ± 39.0,54.8 ± 32.0
SO₂,μg/m³,8.0 ± 4.4,8.7 ± 3.8,7.8 ± 3.5
NO₂,μg/m³,48.3 ± 24.6,46.3 ± 24.3,39.7 ± 22.0
O₃,μg/m³,39.7 ± 42.9,43.3 ± 44.9,48.9 ± 43.6
CO,mg/m³,0.8 ± 0.3,0.7 ± 0.3,0.7 ± 0.3
